ewt
File, number_test, fails_test, perc_test, number_ambiguous, fails_ambiguous, perc_ambiguous, number_oov, fails_oov, perc_oov
ewt, 25096, 2341, 90.6718202103921, 13017, 892, 93.14742260121379, 937, 380, 59.44503735325507
gum, 13326, 1777, 86.66516584121267, 6448, 608, 90.57071960297766, 904, 353, 60.95132743362832
lines, 15623, 1804, 88.45292197401267, 7962, 834, 89.52524491333835, 856, 299, 65.07009345794393
partut, 3404, 369, 89.15981198589894, 1682, 165, 90.19024970273485, 164, 51, 68.90243902439025
foot, 11399, 4602, 59.62803754715326, 4522, 1318, 70.85360459973464, 898, 662, 26.280623608017816
pud, 21176, 2456, 88.40196448809974, 10467, 809, 92.27094678513423, 1135, 356, 68.63436123348018
, , , , , , , , , ,
Label, iteration_selected, train_error, dev_error
PROPN, 9, 0.043860346747256244, 0.003920130996896156
PUNCT, 5, 0.001471289963416574, 0.00021995747488818827
ADJ, 9, 0.020478765707014474, 0.0037881565119632426
NOUN, 7, 0.046087163989184034, 0.009560818241806584
VERB, 5, 0.02827262605376173, 0.007654520126108952
DET, 8, 0.004135517735008748, 0.00044480289366278077
ADP, 7, 0.012008907268967712, 0.0033824571693916953
AUX, 9, 0.006680451725783363, 0.0013099689615563214
PRON, 2, 0.004851280419914108, 0.001964953442334482
PART, 7, 0.002743756958803881, 0.0002443971943202092
SCONJ, 2, 0.006441864164148242, 0.003450888383801354
NUM, 7, 0.0017496421186575474, 0.0003372681281618887
ADV, 7, 0.017416891999363766, 0.007033751252535621
CCONJ, 5, 0.0005567043104819469, 9.287093384167949e-05
X, 1, 0.004055988547797041, 0.00164723708971821
INTJ, 9, 0.0017894067122634007, 0.00011731065327370042
SYM, 0, 0.0015110545570224273, 0.0007918469095974779
