gum
File, number_test, fails_test, perc_test, number_ambiguous, fails_ambiguous, perc_ambiguous, number_oov, fails_oov, perc_oov
ewt, 25096, 4472, 82.18042715970672, 10252, 1190, 88.39250877877487, 2214, 1116, 49.59349593495935
gum, 13326, 2003, 84.969233078193, 5335, 511, 90.42174320524836, 1410, 581, 58.794326241134755
lines, 15623, 2425, 84.47801318568777, 6569, 890, 86.4515146902116, 1513, 557, 63.18572372769332
partut, 3404, 551, 83.81316098707403, 1468, 154, 89.50953678474114, 361, 123, 65.92797783933518
foot, 11399, 5136, 54.94341608913062, 3227, 1018, 68.45367214130772, 1373, 1016, 26.001456664238894
pud, 21176, 3358, 84.14242538723083, 8774, 926, 89.44609072258947, 2080, 772, 62.88461538461539
, , , , , , , , , ,
Label, iteration_selected, train_error, dev_error
ADJ, 8, 0.03167730173199635, 0.0029430391535968407
NOUN, 6, 0.07087511394712853, 0.008344819878553069
CCONJ, 3, 0.0003798237617745366, 0.00011176098051633573
PUNCT, 4, 0.0009115770282588879, 3.725366017211191e-05
ADP, 9, 0.013065937405044059, 0.0013783854263681406
PROPN, 9, 0.05606198723792161, 0.00400476846850203
SCONJ, 6, 0.010483135824977211, 0.0010617293149051894
AUX, 2, 0.006684898207231844, 0.0034832172260924636
VERB, 2, 0.03866605894864783, 0.014119137205230415
DET, 7, 0.0031145548465512, 0.00029802928137689526
PRON, 4, 0.007064721969006381, 0.001303878106023917
NUM, 5, 0.001899118808872683, 0.0002048951309466155
ADV, 6, 0.01420540869036767, 0.0026636367023060016
X, 8, 0.0015952597994530538, 0.00016764147077450358
SYM, 2, 0.00022789425706472196, 0.00033528294154900717
PART, 7, 0.004178061379519903, 0.0001303878106023917
INTJ, 2, 0.00030385900941962927, 0.0002607756212047834
