lines
File, number_test, fails_test, perc_test, number_ambiguous, fails_ambiguous, perc_ambiguous, number_oov, fails_oov, perc_oov
ewt, 25096, 5172, 79.39113802996494, 8302, 1218, 85.32883642495784, 2960, 1532, 48.24324324324324
gum, 13326, 2661, 80.03151733453399, 4364, 528, 87.90100824931255, 1997, 758, 62.04306459689534
lines, 15623, 1421, 90.90443576777828, 5732, 544, 90.50942079553384, 1153, 344, 70.16478751084128
partut, 3404, 455, 86.63337250293772, 1270, 136, 89.29133858267717, 344, 113, 67.15116279069767
foot, 11399, 5202, 54.36441793139749, 2713, 982, 63.80390711389606, 1697, 1120, 34.00117855038303
pud, 21176, 3831, 81.9087646392142, 7378, 918, 87.55760368663594, 2840, 994, 65.0
, , , , , , , , , ,
Label, iteration_selected, train_error, dev_error
VERB, 6, 0.036779324055666, 0.005629753847996646
PRON, 4, 0.008478540521576424, 0.0019764029466371206
ADP, 8, 0.010525084785405215, 0.0013575292966800424
PROPN, 5, 0.010934393638170975, 0.0005789463177017827
NOUN, 7, 0.04198339375511636, 0.0034137869078277533
DET, 8, 0.0036837796748918255, 0.00041923698868060133
AUX, 6, 0.00877090398783768, 0.0032740412449342197
PART, 6, 0.003566834288387323, 0.0004791279870635443
ADJ, 8, 0.025669512337738277, 0.0025753129304665508
PUNCT, 5, 0.0005262542392702608, 0.0
NUM, 4, 0.0022804350368377966, 0.00011978199676588608
ADV, 2, 0.018828207227224884, 0.007745902457527301
CCONJ, 4, 0.0006431996257747632, 3.9927332255295365e-05
X, 0, 0.0005262542392702608, 0.00011978199676588608
SCONJ, 6, 0.00485323353993685, 0.00037930965642530597
SYM, 1, 0.0001169453865045024, 0.0
INTJ, 1, 0.0006431996257747632, 0.00015970932902118146
