partut
File, number_test, fails_test, perc_test, number_ambiguous, fails_ambiguous, perc_ambiguous, number_oov, fails_oov, perc_oov
ewt, 25096, 5856, 76.66560408033153, 7920, 1286, 83.76262626262626, 2918, 1478, 49.34886908841673
gum, 13326, 2865, 78.5006753714543, 3951, 579, 85.3454821564161, 2008, 793, 60.50796812749004
lines, 15623, 2793, 82.12251168149523, 5138, 933, 81.84118333982094, 1954, 684, 64.99488229273285
partut, 3404, 252, 92.59694477085782, 1163, 95, 91.83147033533965, 205, 57, 72.1951219512195
foot, 11399, 5844, 48.732344942538816, 2698, 930, 65.53002223869532, 1677, 1192, 28.920691711389384
pud, 21176, 3931, 81.43653192293162, 6512, 994, 84.73587223587224, 2441, 852, 65.09627201966407
, , , , , , , , , ,
Label, iteration_selected, train_error, dev_error
NOUN, 8, 0.05328923190003675, 0.0045066795428939325
ADP, 6, 0.009922822491730982, 0.0020923869306293257
DET, 4, 0.004410143329658214, 0.0018394610379158906
AUX, 4, 0.005880191106210952, 0.0009887103078797912
PART, 9, 0.003675119441381845, 0.0
VERB, 6, 0.03822124219037119, 0.00319606355337886
PUNCT, 0, 0.0, 0.0003448989446092295
PROPN, 2, 0.019845644983461964, 0.005104504380216596
CCONJ, 0, 0.000735023888276369, 0.0005288450484008185
ADJ, 7, 0.03123851525174568, 0.004736612172633418
ADV, 8, 0.012495406100698273, 0.0008047642040882022
PRON, 4, 0.008452774715178243, 0.001494562093306661
NUM, 2, 0.0011025358324145535, 0.00025292589271343495
SCONJ, 9, 0.006615214994487321, 0.00018394610379158906
X, 1, 0.002940095553105476, 0.0004828585224529213
INTJ, 0, 0.0, 2.2993262973948632e-05
AUX+PART, 2, 0.0, 2.2993262973948632e-05
SYM, 0, 0.0, 0.0
VERB+VERB, 0, 0.0, 2.2993262973948632e-05
ADP+DET, 0, 0.0, 0.0
